abn,company_name,entity_type,status,gst_status,state,postcode,lead_score,classification,positive_signals,negative_signals,source
48694402117,Nutritionist On The Go,Individual/Sole Trader,ACT,NON,NSW,2298,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
48694996748,NB NUTRITION PTY LTD,Australian Private Company,ACT,ACT,NSW,2283,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
48699816751,FEED NUTRITION,Individual/Sole Trader,ACT,NON,VIC,3205,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
48716486923,Coastal Shine Nutrition,Individual/Sole Trader,ACT,ACT,TAS,7310,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
48734601498,AUS INSTITUTE OF PET NUTRITION,Individual/Sole Trader,ACT,ACT,WA,6100,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
48747895181,STARTRIGHT NUTRITION,Individual/Sole Trader,ACT,CAN,SA,5016,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
48824517584,The Trustee for DAI PHAT GROCERY ADELAIDE UNIT TRUST,Fixed Unit Trust,ACT,ACT,SA,5063,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
48871595567,FORTITUDE FACTOR - COACHING & NUTRITION,Individual/Sole Trader,ACT,NON,VIC,3090,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
48936948614,WHITE EAGLE NATURAL PRODUCTS,Individual/Sole Trader,ACT,NON,NSW,2482,35,Possible,natural products (+35),,Australian ABN Bulk Extract
48957949090,MELANIE JAGO NUTRITION,Individual/Sole Trader,ACT,NON,QLD,4868,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
48965274578,COASTAL PERFORMANCE NUTRITION,Individual/Sole Trader,ACT,NON,NSW,2850,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
48971717966,Nutritional Supplement Services,Individual/Sole Trader,ACT,ACT,WA,6170,50,Good potential,supplement (+25); nutrition (+25),,Australian ABN Bulk Extract
48980188914,REALISTIC NUTRITION,Individual/Sole Trader,ACT,NON,VIC,3103,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
48990251582,Kate Rose Nutrition,Individual/Sole Trader,ACT,NON,QLD,4518,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49098780771,NUTRITIONAL FOODS PTY LTD,Australian Private Company,ACT,CAN,QLD,4207,35,Possible,nutrition (+25); food (+10),,Australian ABN Bulk Extract
49120807694,Australian Chamber for Parents Children Health and Nutrition,Other Unincorporated Entity,ACT,NON,QLD,4217,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49159703652,SYDNEY FOOD AND GROCERIES PTY LTD,Australian Private Company,ACT,CAN,NSW,2150,30,Possible,grocer (+20); food (+10),,Australian ABN Bulk Extract
49205566348,Spice Nutrition,Individual/Sole Trader,ACT,NON,VIC,3159,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49236920293,SASNUTRITION,Individual/Sole Trader,ACT,NON,SA,5253,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49296484810,THE AWAKE NUTRITIONIST,Individual/Sole Trader,ACT,NON,WA,6069,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49302782192,The trustee for SYNERGY NATURAL PRODUCTS TRUST,Discretionary Trading Trust,ACT,ACT,NSW,2113,35,Possible,natural products (+35),,Australian ABN Bulk Extract
49334968935,The Trustee for SUPPLEMENT CITY UNIT TRUST,Fixed Trust,ACT,ACT,QLD,4151,25,Possible,supplement (+25),,Australian ABN Bulk Extract
49386192380,Thrive Naturopathy and Nutrition,Individual/Sole Trader,ACT,NON,NSW,2155,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49429019051,CONVENIENT NUTRITION,Individual/Sole Trader,ACT,NON,VIC,3782,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49441297289,NUTRITION BY MONAE,Individual/Sole Trader,ACT,NON,QLD,4216,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49540981150,1two1 Vegan Cafe & Organic Grocer,Individual/Sole Trader,ACT,ACT,NSW,2750,35,Possible,grocer (+20); organic (+15),,Australian ABN Bulk Extract
49545882017,CONDITIONED NUTRITION,Individual/Sole Trader,ACT,NON,VIC,3084,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49596100516,Nutrition Foundations,Individual/Sole Trader,ACT,NON,NSW,2290,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
49605992667,DANI ORGANIC FOODS (AUST) PTY LTD,Australian Private Company,ACT,ACT,NSW,2223,40,Good potential,organic food (+40),,Australian ABN Bulk Extract
49624785477,AGRI NUTRITION PTY LTD,Australian Private Company,ACT,ACT,SA,5353,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
